country,name
Afghanistan,K
Albania,
Algeria,K
Angola,K
Antigua Barbuda,
Argentina,
Armenia,
Aruba,
Australia,
Austria,
Azerbaijan,
Bahrain,
Bangladesh,K
Belarus,
Belgium,
Belize,
Bhutan,
Bolivia,
Bosnia and Herzegovina,K
Botswana,K
Brazil,
Brunei,
Bulgaria,
Burkina Faso,
Cambodia,
Cameroon,
Canada,
Cent Af Rep,
Chile,K
China PRC,
C̫te d'Ivoire,
Costa Rica,
Columbia,
Croatia,
Cyprus,
Czech Republic,K
Denmark,
Dominican Republic,
DRCongo,
Ecuador,
El Salvador,
Estonia,
Ethiopia,
Egypt,K
Finland,K
France,
Gabon,
Gambia,
Georgia,K
Germany,
Ghana,
Greece,K
Guatemala,
Honduras,
Hong Kong,
Hungary,K
Iceland,
India,
Indonesia,
Iran,
Iraq,K
Ireland,
Israel,
Italy,
Jamaica,
Japan,
Jordan,
Kazakhstan,K
Kenya,
Kuwait,K
Laos,K
Latvia,
Libya,
Lebanon,
Lesotho,
Lithuania,
Luxembourg,
Macau,
Malaysia,
Mali,K
Malta,
Mauritius,
Mexico,
Morocco,
Mozambique,
Myanmar,
Nambia,
Nepal,
Netherlands,
New Zealand,K
Nigeria,
Norway,
Oman,
Pakistan,K
Panama,
Papua New Guinea,
Paraguay,
Peru,K
Philippines,
Poland,
Portugal,K
Puerto Rico,
Qatar,K
Romania,K
Russia,
S Africa,
Saudi Arabia,
Senegal,K
Serbia,
Seychelles,
Singapore,
Slovakia,
Slovenia,
South Korea,
Spain,
Sri Lanka,
St. Lucia,
Sudan,
Sweden,
Switzerland,
Syria,
Tanzania,
Thailand,
Timore-Leste,
Trinidad and Tobago,K
Tunisia,
Turkey,
Turkmenistan,
UAE,
Uganda,
UK,
Ukraine,
Uruguay,
USA,
Uzbekistan,
Venezuela,
Vietnam,K
Yemen,K
Zambia,
Zimbabwe,K
